team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison,over_under
CHC,4.140395563061605,0.3882631471000219,157.55727976479474,CHC,165.0,Chicago Cubs,St. Louis Cardinals,Bovada,7.4427202352052575,8.28079112612321
CHC,4.140395563061605,0.3882631471000219,157.55727976479474,CHC,108.0,Chicago Cubs,St. Louis Cardinals,Bovada,-49.55727976479474,8.28079112612321
STL,5.197099978165293,0.611736852899978,-157.5572797647947,STL,-200.0,Chicago Cubs,St. Louis Cardinals,Bovada,-42.442720235205286,10.394199956330587
STL,5.197099978165293,0.611736852899978,-157.5572797647947,STL,-130.0,Chicago Cubs,St. Louis Cardinals,Bovada,27.557279764794714,10.394199956330587
PHI,4.436405990982855,0.5282310090083845,-111.968149474617,PHI,-200.0,Philadelphia Phillies,Cincinnati Reds,Bovada,-88.031850525383,8.629011810437408
CIN,4.192605819454554,0.4717689909916155,111.96814947461698,CIN,165.0,Philadelphia Phillies,Cincinnati Reds,Bovada,53.03185052538302,8.629011810437408
PIT,3.297159381104533,0.2916717822434285,242.8511295499277,PIT,225.0,Pittsburgh Pirates,Atlanta Braves,Bovada,-17.85112954992769,8.435347550920657
ATL,5.138188169816123,0.7083282177565715,-242.8511295499277,ATL,-280.0,Pittsburgh Pirates,Atlanta Braves,Bovada,-37.14887045007231,8.435347550920657
BAL,3.7843767730629336,0.406688749058184,145.88828737352955,BAL,117.0,Baltimore Orioles,Chicago White Sox,Bovada,-28.88828737352955,8.355306886954569
CHW,4.570930113891636,0.5933112509418159,-145.88828737352952,CHW,-140.0,Baltimore Orioles,Chicago White Sox,Bovada,5.888287373529522,8.355306886954569
NYY,4.861018248376692,0.5005856694176302,-100.23454249578587,NYY,-130.0,New York Yankees,New York Mets,Bovada,-29.765457504214126,9.716345928140242
NYM,4.855327679763549,0.4994143305823697,100.23454249578594,NYM,108.0,New York Yankees,New York Mets,Bovada,7.765457504214055,9.716345928140242
DET,2.884880412153336,0.2800464091967013,257.08367154874384,DET,185.0,Detroit Tigers,San Francisco Giants,Bovada,-72.08367154874384,7.510448325875684
SFG,4.625567913722349,0.7199535908032986,-257.08367154874367,SFG,-225.0,Detroit Tigers,San Francisco Giants,Bovada,32.083671548743666,7.510448325875684
TBR,3.889875261744704,0.4908734892121604,103.71847777010215,TBR,-182.0,Tampa Bay Rays,Los Angeles Angels,Bovada,-85.71847777010215,7.851412493765556
LAA,3.961537232020852,0.5091265107878395,-103.71847777010215,LAA,150.0,Tampa Bay Rays,Los Angeles Angels,Bovada,53.718477770102155,7.851412493765556
BOS,4.467357208750107,0.4325671442542853,131.17798318314908,BOS,117.0,Boston Red Sox,Toronto Blue Jays,Bovada,-14.177983183149081,9.583953535120699
TOR,5.116596326370592,0.5674328557457147,-131.17798318314908,TOR,-140.0,Boston Red Sox,Toronto Blue Jays,Bovada,-8.822016816850919,9.583953535120699
CHC,4.191886522433316,0.3966691629931401,152.0992538099801,CHC,165.0,Chicago Cubs,St. Louis Cardinals,Bovada,12.900746190019902,8.383773044866633
CHC,4.191886522433316,0.3966691629931401,152.0992538099801,CHC,108.0,Chicago Cubs,St. Louis Cardinals,Bovada,-44.0992538099801,8.383773044866633
STL,5.169791869169879,0.60333083700686,-152.09925380998018,STL,-200.0,Chicago Cubs,St. Louis Cardinals,Bovada,-47.90074619001982,10.339583738339758
STL,5.169791869169879,0.60333083700686,-152.09925380998018,STL,-130.0,Chicago Cubs,St. Louis Cardinals,Bovada,22.099253809980183,10.339583738339758
KCR,3.958327227947977,0.4648913216753863,115.10403687386042,KCR,105.0,Kansas City Royals,Arizona Diamondbacks,Bovada,-10.104036873860423,8.205079925738357
ARI,4.246752697790379,0.5351086783246136,-115.10403687386037,ARI,-125.0,Kansas City Royals,Arizona Diamondbacks,Bovada,-9.895963126139634,8.205079925738357
HOU,5.218244230988784,0.5879873383111855,-142.71098754612584,HOU,-320.0,Houston Astros,Minnesota Twins,Bovada,-177.28901245387416,9.586375649182074
MIN,4.368131418193289,0.4120126616888144,142.71098754612586,MIN,255.0,Houston Astros,Minnesota Twins,Bovada,112.28901245387414,9.586375649182074
COL,4.602979066508086,0.5097429315479549,-103.97462155057453,,,,,,3.9746215505745255,9.11712220196204
TEX,4.514143135453954,0.4902570684520452,103.97462155057448,,,,,,-3.974621550574483,9.11712220196204
SDP,4.350295954733561,0.4885731405101803,104.67764538913764,SDP,-140.0,San Diego Padres,Cleveland Guardians,Bovada,-44.67764538913764,8.801174832767709
CLE,4.450878878034148,0.5114268594898198,-104.67764538913768,CLE,117.0,San Diego Padres,Cleveland Guardians,Bovada,21.67764538913768,8.801174832767709
OAK,3.252596217098584,0.374859759699914,166.76643041134332,OAK,117.0,Oakland Athletics,Miami Marlins,Bovada,-49.76643041134332,7.452936438271706
MIA,4.200340221173122,0.625140240300086,-166.76643041134332,MIA,-140.0,Oakland Athletics,Miami Marlins,Bovada,26.766430411343322,7.452936438271706
SEA,4.234181080036429,0.522751060809616,-109.53425306642332,SEA,-265.0,Seattle Mariners,Washington Nationals,Bovada,-155.46574693357667,8.279888310970929
WSN,4.045707230934499,0.4772489391903841,109.5342530664233,WSN,215.0,Seattle Mariners,Washington Nationals,Bovada,105.4657469335767,8.279888310970929
LAD,4.836268948637465,0.5254073342391988,-110.70700669108288,LAD,-150.0,Los Angeles Dodgers,Milwaukee Brewers,Bovada,-39.29299330891712,9.432722651453474
MIL,4.59645370281601,0.4745926657608011,110.70700669108288,MIL,126.0,Los Angeles Dodgers,Milwaukee Brewers,Bovada,15.292993308917119,9.432722651453474
