team,runs_scored,wp,ml,name,price,home_team,away_team,bookmakers.title,comparison
PIT,3.6307922180136702,0.4185786463108322,138.90373023410518,PIT,275.0,Pittsburgh Pirates,Cincinnati Reds,Bovada,136.09626976589482
CIN,4.279158276214557,0.5814213536891677,-138.90373023410515,CIN,-400.0,Pittsburgh Pirates,Cincinnati Reds,Bovada,-261.0962697658948
PHI,4.771942641534381,0.4828152369847098,107.11856697920838,PHI,-550.0,Philadelphia Phillies,New York Mets,Bovada,-457.11856697920837
NYM,4.938869965766357,0.5171847630152901,-107.11856697920838,NYM,350.0,Philadelphia Phillies,New York Mets,Bovada,257.11856697920837
ATL,4.639189947952098,0.476683590710805,109.78276145584402,ATL,-165.0,Atlanta Braves,Houston Astros,Bovada,-74.78276145584402
HOU,4.860816541477968,0.5233164092891949,-109.78276145584398,HOU,125.0,Atlanta Braves,Houston Astros,Bovada,34.78276145584398
NYY,4.750788198111571,0.4958684387361819,101.6663941243561,NYY,-350.0,New York Yankees,Toronto Blue Jays,Bovada,-251.6663941243561
TOR,4.790208081660262,0.504131561263818,-101.66639412435607,TOR,250.0,New York Yankees,Toronto Blue Jays,Bovada,151.6663941243561
DET,2.6520641526401385,0.2709885936340452,269.0192220232131,DET,-3300.0,Detroit Tigers,Los Angeles Angels,Bovada,-3369.019222023213
LAA,4.3498640272810745,0.7290114063659547,-269.01922202321305,LAA,1200.0,Detroit Tigers,Los Angeles Angels,Bovada,1269.019222023213
TBR,3.808432376655568,0.4245342933031358,135.55223118005145,TBR,-500.0,Tampa Bay Rays,Kansas City Royals,Bovada,-435.5522311800514
KCR,4.434039766904074,0.5754657066968643,-135.55223118005145,KCR,325.0,Tampa Bay Rays,Kansas City Royals,Bovada,260.5522311800514
MIN,4.031649226920499,0.4510669113817818,121.69659861252886,MIN,-110.0,Minnesota Twins,Texas Rangers,Bovada,-31.69659861252886
TEX,4.447561471397251,0.5489330886182182,-121.69659861252886,TEX,-120.0,Minnesota Twins,Texas Rangers,Bovada,1.6965986125288595
CHC,4.15888909038413,0.4391521339470455,127.71152015410304,CHC,-425.0,Chicago Cubs,Milwaukee Brewers,Bovada,-352.711520154103
MIL,4.6999406728574575,0.5608478660529544,-127.71152015410298,MIL,285.0,Chicago Cubs,Milwaukee Brewers,Bovada,212.71152015410297
COL,4.308528068286647,0.4648363213770825,115.1294883836722,COL,230.0,Colorado Rockies,San Francisco Giants,Bovada,114.8705116163278
SFG,4.622982121681644,0.5351636786229176,-115.12948838367228,SFG,-325.0,Colorado Rockies,San Francisco Giants,Bovada,-209.87051161632772
OAK,3.1657045244507422,0.3649652186608111,173.99871244425984,OAK,180.0,Oakland Athletics,Seattle Mariners,Bovada,6.001287555740163
SEA,4.175835617224451,0.6350347813391889,-173.99871244425984,SEA,-220.0,Oakland Athletics,Seattle Mariners,Bovada,-46.00128755574016
ARI,4.018810420564135,0.3963057076925819,152.33045615777746,ARI,108.0,Arizona Diamondbacks,St. Louis Cardinals,Bovada,-44.33045615777746
STL,4.960105238261508,0.6036942923074182,-152.33045615777752,STL,-130.0,Arizona Diamondbacks,St. Louis Cardinals,Bovada,22.33045615777752
LAD,4.787721540278139,0.6313547282298657,-171.26348188280622,LAD,-165.0,Los Angeles Dodgers,Miami Marlins,Bovada,6.263481882806218
MIA,3.658444733787224,0.3686452717701343,171.2634818828062,MIA,139.0,Los Angeles Dodgers,Miami Marlins,Bovada,-32.26348188280619
SDP,4.348726149463457,0.5193402297112456,-108.0473677668622,SDP,-290.0,San Diego Padres,Washington Nationals,Bovada,-181.95263223313782
WSN,4.183646335318263,0.4806597702887544,108.0473677668622,WSN,230.0,San Diego Padres,Washington Nationals,Bovada,121.9526322331378
BAL,3.9563115688648094,0.4590462479089634,117.84297433105624,BAL,-107.0,Baltimore Orioles,Boston Red Sox,Bovada,-24.84297433105624
BOS,4.294793960550901,0.5409537520910365,-117.8429743310562,BOS,-113.0,Baltimore Orioles,Boston Red Sox,Bovada,4.8429743310561975
CLE,3.83163731650192,0.3822909268036392,161.5808877184371,,,,,,-61.58088771843711
CHW,4.870565510669604,0.6177090731963607,-161.58088771843703,,,,,,61.580887718437026
