Date,Home,Opp,R,H,HR,BA,OPS,Team,abbrev_name,ERA,K/BB,HR/9,WHIP,xFIP,HardHit%_P,wOBA,wRC+,OBP+,Barrel%,HardHit%
Apr 7,False,SDP,4,3,1,0.115,0.554,ARI,Y.Darvish,3.05,5.23,0.99,0.93,3.57,0.371,0.305,93,97,0.068,0.358
Apr 8,False,SDP,0,2,0,0.091,0.364,ARI,S.Manaea,5.18,3.15,1.75,1.33,3.94,0.419,0.305,93,97,0.068,0.358
Apr 9,False,SDP,2,5,1,0.116,0.426,ARI,J.Musgrove,3.16,4.85,1.15,1.07,3.43,0.325,0.305,93,97,0.068,0.358
Apr 10,False,SDP,5,5,2,0.129,0.516,ARI,N.Crismatt,2.98,2.82,0.57,1.2,3.51,0.363,0.305,93,97,0.068,0.358
Apr 12,False,HOU,1,4,1,0.13,0.518,ARI,L.Garcia,4.04,3.4,1.41,1.17,3.81,0.349,0.305,93,97,0.068,0.358
Apr 13,False,HOU,3,6,0,0.14,0.532,ARI,F.Valdez,2.57,2.84,0.44,1.11,3.02,0.408,0.305,93,97,0.068,0.358
Apr 15,True,NYM,3,3,1,0.135,0.532,ARI,C.Bassitt,3.32,3.62,0.89,1.14,3.6,0.32,0.305,93,97,0.068,0.358
Apr 16,True,NYM,3,9,1,0.152,0.558,ARI,C.Carrasco,3.7,3.86,0.96,1.29,3.35,0.389,0.305,93,97,0.068,0.358
Apr 17,True,NYM,0,5,0,0.152,0.548,ARI,D.Peterson,3.91,2.65,0.98,1.35,3.3,0.426,0.305,93,97,0.068,0.358
Apr 19 (1),True,WSN,1,6,1,0.156,0.555,ARI,J.Gray,3.8,3.57,0.97,1.14,3.25,0.377,0.305,93,97,0.068,0.358
Apr 19 (1),True,WSN,1,6,1,0.156,0.555,ARI,J.Gray,5.14,2.37,2.44,1.38,4.49,0.364,0.305,93,97,0.068,0.358
Apr 19 (2),True,WSN,0,5,0,0.156,0.543,ARI,J.Adon,7.1,1.41,1.11,1.78,5.06,0.36700000000000005,0.305,93,97,0.068,0.358
Apr 20,True,WSN,11,10,1,0.168,0.563,ARI,E.Fedde,5.29,1.59,1.34,1.56,4.74,0.447,0.305,93,97,0.068,0.358
Apr 21,True,WSN,4,9,3,0.176,0.59,ARI,J.Rogers,5.13,1.09,2.05,1.33,5.93,0.389,0.305,93,97,0.068,0.358
Apr 22,False,NYM,5,8,2,0.18,0.603,ARI,D.Peterson,3.91,2.65,0.98,1.35,3.3,0.426,0.305,93,97,0.068,0.358
Apr 23,False,NYM,5,11,0,0.19,0.617,ARI,T.Williams,2.95,3.36,1.13,1.21,3.95,0.384,0.305,93,97,0.068,0.358
Apr 24,False,NYM,2,6,1,0.189,0.613,ARI,T.Megill,5.01,4.27,1.31,1.21,3.04,0.33899999999999997,0.305,93,97,0.068,0.358
Apr 24,False,NYM,2,6,1,0.189,0.613,ARI,T.Megill,3.89,3.21,0.86,1.37,3.35,0.479,0.305,93,97,0.068,0.358
Apr 25,False,LAD,0,3,0,0.185,0.592,ARI,W.Buehler,4.02,3.41,1.11,1.29,3.64,0.41600000000000004,0.305,93,97,0.068,0.358
Apr 26,False,LAD,5,4,1,0.182,0.588,ARI,T.Gonsolin,2.1,3.31,0.77,0.86,3.74,0.344,0.305,93,97,0.068,0.358
Apr 27,False,LAD,3,2,1,0.178,0.58,ARI,J.Urias,2.27,4.11,1.19,0.95,3.8,0.29600000000000004,0.305,93,97,0.068,0.358
Apr 28,True,STL,3,6,1,0.178,0.581,ARI,D.Hudson,4.16,1.33,0.6,1.4,4.79,0.405,0.305,93,97,0.068,0.358
Apr 28,True,STL,3,6,1,0.178,0.581,ARI,D.Hudson,2.22,6.0,0.37,0.9,2.42,0.36700000000000005,0.305,93,97,0.068,0.358
Apr 29,True,STL,6,9,0,0.183,0.589,ARI,A.Wainwright,3.29,2.91,0.71,1.24,3.93,0.364,0.305,93,97,0.068,0.358
Apr 30,True,STL,2,5,2,0.181,0.587,ARI,M.Mikolas,3.46,3.83,1.15,1.05,3.86,0.36200000000000004,0.305,93,97,0.068,0.358
May 1,True,STL,5,7,4,0.182,0.604,ARI,J.Hicks,4.92,1.8,0.75,1.31,4.04,0.32,0.305,93,97,0.068,0.358
May 2,True,MIA,5,9,1,0.186,0.609,ARI,P.Lopez,3.99,3.12,1.07,1.22,3.61,0.364,0.305,93,97,0.068,0.358
May 3,True,MIA,5,9,2,0.189,0.619,ARI,T.Rogers,4.53,5.92,0.91,1.09,3.1,0.389,0.305,93,97,0.068,0.358
May 3,True,MIA,5,9,2,0.189,0.619,ARI,T.Rogers,5.47,2.36,1.26,1.5,4.11,0.374,0.305,93,97,0.068,0.358
May 3,True,MIA,5,9,2,0.189,0.619,ARI,T.Rogers,4.01,2.1,0.4,1.28,4.2,0.304,0.305,93,97,0.068,0.358
May 4,True,MIA,8,9,2,0.192,0.63,ARI,E.Hernandez,6.33,2.59,2.93,1.46,5.07,0.369,0.305,93,97,0.068,0.358
May 6,False,COL,4,6,2,0.193,0.634,ARI,C.Kuhl,5.33,1.87,1.68,1.5,4.81,0.439,0.305,93,97,0.068,0.358
May 7,False,COL,1,6,0,0.193,0.631,ARI,K.Freeland,4.43,2.39,1.01,1.38,4.49,0.42,0.305,93,97,0.068,0.358
May 8,False,COL,4,8,0,0.195,0.635,ARI,G.Marquez,5.14,2.24,1.53,1.38,4.1,0.473,0.305,93,97,0.068,0.358
May 9,False,MIA,4,7,1,0.196,0.636,ARI,E.Hernandez,6.33,2.59,2.93,1.46,5.07,0.369,0.305,93,97,0.068,0.358
May 10,False,MIA,9,11,1,0.201,0.647,ARI,J.Luzardo,3.75,2.94,0.88,1.09,3.47,0.38,0.305,93,97,0.068,0.358
May 11,False,MIA,3,4,2,0.199,0.643,ARI,S.Alcantara,2.37,3.84,0.63,1.01,3.37,0.396,0.305,93,97,0.068,0.358
May 13,False,CHC,4,12,0,0.203,0.651,ARI,D.Smyly,3.48,3.42,1.39,1.19,4.23,0.33399999999999996,0.305,93,97,0.068,0.358
May 14,False,CHC,2,8,0,0.204,0.649,ARI,K.Hendricks,4.8,2.75,1.6,1.29,4.46,0.38799999999999996,0.305,93,97,0.068,0.358
May 15,False,CHC,2,6,0,0.204,0.645,ARI,J.Steele,3.18,2.52,0.61,1.35,3.48,0.33299999999999996,0.305,93,97,0.068,0.358
May 16,True,LAD,4,5,2,0.203,0.644,ARI,T.Gonsolin,2.1,3.31,0.77,0.86,3.74,0.344,0.305,93,97,0.068,0.358
May 17 (1),True,LAD,6,6,2,0.202,0.645,ARI,R.Pepiot,3.78,1.46,1.62,1.53,5.58,0.415,0.305,93,97,0.068,0.358
May 17 (2),True,LAD,3,11,2,0.205,0.649,ARI,T.Anderson,2.62,3.72,0.72,1.03,4.19,0.293,0.305,93,97,0.068,0.358
May 18,True,LAD,3,9,0,0.207,0.647,ARI,W.Buehler,4.02,3.41,1.11,1.29,3.64,0.41600000000000004,0.305,93,97,0.068,0.358
May 19,True,CHC,3,6,1,0.206,0.645,ARI,M.Stroman,3.76,3.09,1.05,1.18,3.6,0.40299999999999997,0.305,93,97,0.068,0.358
May 20,True,CHC,10,12,7,0.209,0.663,ARI,K.Hendricks,4.8,2.75,1.6,1.29,4.46,0.38799999999999996,0.305,93,97,0.068,0.358
May 21,True,CHC,7,11,1,0.211,0.666,ARI,J.Steele,3.18,2.52,0.61,1.35,3.48,0.33299999999999996,0.305,93,97,0.068,0.358
May 22,True,CHC,4,8,0,0.212,0.663,ARI,W.Miley,2.89,2.09,0.32,1.14,4.02,0.325,0.305,93,97,0.068,0.358
May 23,False,KCR,9,10,2,0.214,0.669,ARI,Z.Greinke,4.1,2.68,1.06,1.37,4.54,0.39799999999999996,0.305,93,97,0.068,0.358
May 24,False,KCR,8,9,4,0.216,0.681,ARI,J.Heasley,5.09,1.48,1.73,1.51,5.42,0.44799999999999995,0.305,93,97,0.068,0.358
May 26,False,LAD,1,8,1,0.216,0.68,ARI,M.White,5.05,2.37,0.82,1.41,4.35,0.325,0.305,93,97,0.068,0.358
May 27,False,LAD,4,9,0,0.217,0.681,ARI,R.Pepiot,3.78,1.46,1.62,1.53,5.58,0.415,0.305,93,97,0.068,0.358
May 28,False,LAD,2,5,0,0.216,0.678,ARI,T.Gonsolin,2.1,3.31,0.77,0.86,3.74,0.344,0.305,93,97,0.068,0.358
May 29,False,LAD,1,8,0,0.217,0.677,ARI,T.Anderson,2.62,3.72,0.72,1.03,4.19,0.293,0.305,93,97,0.068,0.358
May 30,False,ATL,6,7,1,0.217,0.678,ARI,S.Strider,2.67,4.49,0.48,0.99,2.3,0.36,0.305,93,97,0.068,0.358
