name,price,point,home_team,away_team,bookmakers.title
Pittsburgh Pirates,210,,Pittsburgh Pirates,Toronto Blue Jays,BetOnline.ag
Toronto Blue Jays,-238,,Pittsburgh Pirates,Toronto Blue Jays,BetOnline.ag
Pittsburgh Pirates,205,,Pittsburgh Pirates,Toronto Blue Jays,FanDuel
Toronto Blue Jays,-250,,Pittsburgh Pirates,Toronto Blue Jays,FanDuel
Pittsburgh Pirates,210,,Pittsburgh Pirates,Toronto Blue Jays,LowVig.ag
Toronto Blue Jays,-233,,Pittsburgh Pirates,Toronto Blue Jays,LowVig.ag
Pittsburgh Pirates,215,,Pittsburgh Pirates,Toronto Blue Jays,Betfair
Toronto Blue Jays,-222,,Pittsburgh Pirates,Toronto Blue Jays,Betfair
Pittsburgh Pirates,225,,Pittsburgh Pirates,Toronto Blue Jays,Betfair
Toronto Blue Jays,-213,,Pittsburgh Pirates,Toronto Blue Jays,Betfair
Pittsburgh Pirates,195,,Pittsburgh Pirates,Toronto Blue Jays,Bovada
Toronto Blue Jays,-240,,Pittsburgh Pirates,Toronto Blue Jays,Bovada
Pittsburgh Pirates,195,,Pittsburgh Pirates,Toronto Blue Jays,DraftKings
Toronto Blue Jays,-230,,Pittsburgh Pirates,Toronto Blue Jays,DraftKings
Pittsburgh Pirates,196,,Pittsburgh Pirates,Toronto Blue Jays,William Hill (US)
Toronto Blue Jays,-240,,Pittsburgh Pirates,Toronto Blue Jays,William Hill (US)
Pittsburgh Pirates,185,,Pittsburgh Pirates,Toronto Blue Jays,FOX Bet
Toronto Blue Jays,-227,,Pittsburgh Pirates,Toronto Blue Jays,FOX Bet
Pittsburgh Pirates,203,,Pittsburgh Pirates,Toronto Blue Jays,GTbets
Toronto Blue Jays,-233,,Pittsburgh Pirates,Toronto Blue Jays,GTbets
Pittsburgh Pirates,194,,Pittsburgh Pirates,Toronto Blue Jays,Circa Sports
Toronto Blue Jays,-233,,Pittsburgh Pirates,Toronto Blue Jays,Circa Sports
Pittsburgh Pirates,200,,Pittsburgh Pirates,Toronto Blue Jays,WynnBET
Toronto Blue Jays,-222,,Pittsburgh Pirates,Toronto Blue Jays,WynnBET
Pittsburgh Pirates,200,,Pittsburgh Pirates,Toronto Blue Jays,Intertops
Toronto Blue Jays,-230,,Pittsburgh Pirates,Toronto Blue Jays,Intertops
Pittsburgh Pirates,195,,Pittsburgh Pirates,Toronto Blue Jays,BetMGM
Toronto Blue Jays,-250,,Pittsburgh Pirates,Toronto Blue Jays,BetMGM
Pittsburgh Pirates,190,,Pittsburgh Pirates,Toronto Blue Jays,TwinSpires
Toronto Blue Jays,-235,,Pittsburgh Pirates,Toronto Blue Jays,TwinSpires
Pittsburgh Pirates,195,,Pittsburgh Pirates,Toronto Blue Jays,BetRivers
Toronto Blue Jays,-230,,Pittsburgh Pirates,Toronto Blue Jays,BetRivers
Pittsburgh Pirates,195,,Pittsburgh Pirates,Toronto Blue Jays,Barstool Sportsbook
Toronto Blue Jays,-230,,Pittsburgh Pirates,Toronto Blue Jays,Barstool Sportsbook
Pittsburgh Pirates,195,,Pittsburgh Pirates,Toronto Blue Jays,SugarHouse
Toronto Blue Jays,-230,,Pittsburgh Pirates,Toronto Blue Jays,SugarHouse
Pittsburgh Pirates,190,,Pittsburgh Pirates,Toronto Blue Jays,Unibet
Toronto Blue Jays,-233,,Pittsburgh Pirates,Toronto Blue Jays,Unibet
Pittsburgh Pirates,190,,Pittsburgh Pirates,Toronto Blue Jays,BetUS
Toronto Blue Jays,-230,,Pittsburgh Pirates,Toronto Blue Jays,BetUS
Cincinnati Reds,-118,,Cincinnati Reds,Colorado Rockies,FanDuel
Colorado Rockies,100,,Cincinnati Reds,Colorado Rockies,FanDuel
Cincinnati Reds,-125,,Cincinnati Reds,Colorado Rockies,Circa Sports
Colorado Rockies,106,,Cincinnati Reds,Colorado Rockies,Circa Sports
Cincinnati Reds,-125,,Cincinnati Reds,Colorado Rockies,William Hill (US)
Colorado Rockies,105,,Cincinnati Reds,Colorado Rockies,William Hill (US)
Cincinnati Reds,-125,,Cincinnati Reds,Colorado Rockies,FOX Bet
Colorado Rockies,105,,Cincinnati Reds,Colorado Rockies,FOX Bet
Cincinnati Reds,-114,,Cincinnati Reds,Colorado Rockies,Betfair
Colorado Rockies,112,,Cincinnati Reds,Colorado Rockies,Betfair
Cincinnati Reds,-111,,Cincinnati Reds,Colorado Rockies,Betfair
Colorado Rockies,114,,Cincinnati Reds,Colorado Rockies,Betfair
Cincinnati Reds,-123,,Cincinnati Reds,Colorado Rockies,Bovada
