name,price,point,home_team,away_team,bookmakers.title
Cincinnati Reds,166,,Cincinnati Reds,Philadelphia Phillies,BetOnline.ag
Philadelphia Phillies,-182,,Cincinnati Reds,Philadelphia Phillies,BetOnline.ag
Cincinnati Reds,155,,Cincinnati Reds,Philadelphia Phillies,DraftKings
Philadelphia Phillies,-180,,Cincinnati Reds,Philadelphia Phillies,DraftKings
Cincinnati Reds,166,,Cincinnati Reds,Philadelphia Phillies,LowVig.ag
Philadelphia Phillies,-180,,Cincinnati Reds,Philadelphia Phillies,LowVig.ag
Cincinnati Reds,158,,Cincinnati Reds,Philadelphia Phillies,William Hill (US)
Philadelphia Phillies,-190,,Cincinnati Reds,Philadelphia Phillies,William Hill (US)
Cincinnati Reds,152,,Cincinnati Reds,Philadelphia Phillies,FanDuel
Philadelphia Phillies,-180,,Cincinnati Reds,Philadelphia Phillies,FanDuel
Cincinnati Reds,150,,Cincinnati Reds,Philadelphia Phillies,FOX Bet
Philadelphia Phillies,-182,,Cincinnati Reds,Philadelphia Phillies,FOX Bet
Cincinnati Reds,160,,Cincinnati Reds,Philadelphia Phillies,BetUS
Philadelphia Phillies,-180,,Cincinnati Reds,Philadelphia Phillies,BetUS
Cincinnati Reds,153,,Cincinnati Reds,Philadelphia Phillies,Bovada
Philadelphia Phillies,-185,,Cincinnati Reds,Philadelphia Phillies,Bovada
Cincinnati Reds,160,,Cincinnati Reds,Philadelphia Phillies,GTbets
Philadelphia Phillies,-180,,Cincinnati Reds,Philadelphia Phillies,GTbets
Cincinnati Reds,163,,Cincinnati Reds,Philadelphia Phillies,WynnBET
Philadelphia Phillies,-179,,Cincinnati Reds,Philadelphia Phillies,WynnBET
Cincinnati Reds,155,,Cincinnati Reds,Philadelphia Phillies,PointsBet (US)
Philadelphia Phillies,-186,,Cincinnati Reds,Philadelphia Phillies,PointsBet (US)
Cincinnati Reds,150,,Cincinnati Reds,Philadelphia Phillies,BetMGM
Philadelphia Phillies,-185,,Cincinnati Reds,Philadelphia Phillies,BetMGM
Cincinnati Reds,155,,Cincinnati Reds,Philadelphia Phillies,TwinSpires
Philadelphia Phillies,-186,,Cincinnati Reds,Philadelphia Phillies,TwinSpires
Cincinnati Reds,160,,Cincinnati Reds,Philadelphia Phillies,SugarHouse
Philadelphia Phillies,-186,,Cincinnati Reds,Philadelphia Phillies,SugarHouse
Cincinnati Reds,160,,Cincinnati Reds,Philadelphia Phillies,BetRivers
Philadelphia Phillies,-186,,Cincinnati Reds,Philadelphia Phillies,BetRivers
Cincinnati Reds,160,,Cincinnati Reds,Philadelphia Phillies,Barstool Sportsbook
Philadelphia Phillies,-186,,Cincinnati Reds,Philadelphia Phillies,Barstool Sportsbook
Cincinnati Reds,155,,Cincinnati Reds,Philadelphia Phillies,Unibet
Philadelphia Phillies,-185,,Cincinnati Reds,Philadelphia Phillies,Unibet
Cincinnati Reds,147,,Cincinnati Reds,Philadelphia Phillies,Circa Sports
Philadelphia Phillies,-176,,Cincinnati Reds,Philadelphia Phillies,Circa Sports
Cincinnati Reds,157,,Cincinnati Reds,Philadelphia Phillies,Intertops
Philadelphia Phillies,-175,,Cincinnati Reds,Philadelphia Phillies,Intertops
Miami Marlins,130,,Miami Marlins,San Diego Padres,DraftKings
San Diego Padres,-150,,Miami Marlins,San Diego Padres,DraftKings
Miami Marlins,135,,Miami Marlins,San Diego Padres,BetOnline.ag
San Diego Padres,-147,,Miami Marlins,San Diego Padres,BetOnline.ag
Miami Marlins,130,,Miami Marlins,San Diego Padres,William Hill (US)
San Diego Padres,-155,,Miami Marlins,San Diego Padres,William Hill (US)
Miami Marlins,135,,Miami Marlins,San Diego Padres,LowVig.ag
San Diego Padres,-146,,Miami Marlins,San Diego Padres,LowVig.ag
Miami Marlins,136,,Miami Marlins,San Diego Padres,FanDuel
San Diego Padres,-162,,Miami Marlins,San Diego Padres,FanDuel
Miami Marlins,135,,Miami Marlins,San Diego Padres,FOX Bet
San Diego Padres,-161,,Miami Marlins,San Diego Padres,FOX Bet
Miami Marlins,130,,Miami Marlins,San Diego Padres,Bovada
San Diego Padres,-155,,Miami Marlins,San Diego Padres,Bovada
Miami Marlins,130,,Miami Marlins,San Diego Padres,BetUS
San Diego Padres,-145,,Miami Marlins,San Diego Padres,BetUS
Miami Marlins,134,,Miami Marlins,San Diego Padres,GTbets
