Name,ERA,K/BB,HR/9,WHIP,xFIP,HardHit%_P,abbrev_name
Carlos Rodon,2.84,4.49,0.59,1.04,2.95,0.39899999999999997,C.Rodon
Aaron Nola,3.38,8.08,0.87,0.98,2.84,0.319,A.Nola
Kevin Gausman,3.45,7.44,0.79,1.24,2.79,0.387,K.Gausman
Justin Verlander,1.78,6.04,0.69,0.83,3.27,0.349,J.Verlander
Sandy Alcantara,2.37,3.84,0.63,1.01,3.37,0.396,S.Alcantara
Shohei Ohtani,2.43,5.44,0.85,1.04,2.64,0.331,S.Ohtani
Spencer Strider,2.67,4.49,0.48,0.99,2.3,0.36,S.Strider
Max Fried,2.52,5.13,0.62,1.02,3.12,0.322,M.Fried
Shane Bieber,2.83,5.26,0.79,1.03,2.99,0.42700000000000005,S.Bieber
Dylan Cease,2.16,3.15,0.75,1.08,3.31,0.32299999999999995,D.Cease
Framber Valdez,2.57,2.84,0.44,1.11,3.02,0.408,F.Valdez
Max Scherzer,2.26,6.65,0.7,0.92,3.33,0.32299999999999995,M.Scherzer
Yu Darvish,3.05,5.23,0.99,0.93,3.57,0.371,Y.Darvish
Shane McClanahan,2.13,6.03,0.89,0.86,2.31,0.313,S.McClanahan
Corbin Burnes,2.97,4.66,1.11,0.98,2.95,0.341,C.Burnes
Logan Webb,3.02,3.15,0.54,1.19,3.38,0.38799999999999996,L.Webb
Zac Gallen,2.52,3.88,0.66,0.92,3.41,0.36700000000000005,Z.Gallen
Alek Manoah,2.4,3.57,0.78,1.01,4.01,0.316,A.Manoah
Zack Wheeler,3.07,4.48,0.78,1.08,3.19,0.335,Z.Wheeler
Martin Perez,2.84,2.74,0.56,1.25,3.66,0.342,M.Perez
Luis Castillo,2.68,3.85,0.74,1.06,3.17,0.36,L.Castillo
Jose Quintana,3.16,2.82,0.48,1.25,3.76,0.35200000000000004,J.Quintana
Tyler Anderson,2.62,3.72,0.72,1.03,4.19,0.293,T.Anderson
Merrill Kelly,3.01,2.87,0.76,1.11,3.87,0.354,M.Kelly
Gerrit Cole,3.41,5.02,1.43,1.03,2.79,0.389,G.Cole
Patrick Sandoval,2.99,2.53,0.54,1.35,3.67,0.33799999999999997,P.Sandoval
Alex Cobb,3.48,3.4,0.6,1.27,2.93,0.371,A.Cobb
Brandon Woodruff,3.26,4.26,1.06,1.1,3.29,0.37200000000000005,B.Woodruff
Adam Wainwright,3.29,2.91,0.71,1.24,3.93,0.364,A.Wainwright
Joe Musgrove,3.16,4.85,1.15,1.07,3.43,0.325,J.Musgrove
Clayton Kershaw,2.44,5.63,0.7,0.93,2.98,0.336,C.Kershaw
Julio Urias,2.27,4.11,1.19,0.95,3.8,0.29600000000000004,J.Urias
Chris Bassitt,3.32,3.62,0.89,1.14,3.6,0.32,C.Bassitt
Nestor Cortes,2.7,4.44,1.03,0.95,3.71,0.349,N.Cortes
Jordan Montgomery,3.26,4.41,0.96,1.08,3.41,0.36200000000000004,J.Montgomery
George Kirby,2.98,8.2,0.92,1.12,3.18,0.379,G.Kirby
Tarik Skubal,3.52,3.66,0.69,1.16,3.4,0.39399999999999996,T.Skubal
Blake Snell,3.85,3.24,0.82,1.29,3.28,0.39899999999999997,B.Snell
Logan Gilbert,3.19,3.47,0.92,1.21,3.83,0.45899999999999996,L.Gilbert
Triston McKenzie,3.08,3.88,1.25,0.97,3.92,0.409,T.McKenzie
Corey Kluber,4.44,7.11,1.16,1.19,3.88,0.35700000000000004,C.Kluber
Brady Singer,3.07,4.25,1.02,1.14,3.31,0.402,B.Singer
Ross Stripling,2.94,5.1,0.83,0.99,3.62,0.359,R.Stripling
