Team,wOBA,wRC+,OBP+,Barrel%,HardHit%,H,HR,OPS,BA
LAD,0.341,122,107,0.09699999999999999,0.42,8.902654867256636,1.3274336283185841,0.788,0.261
NYY,0.333,119,106,0.10800000000000001,0.42700000000000005,8.139130434782608,1.6695652173913043,0.766,0.242
TOR,0.33,113,105,0.08900000000000001,0.44299999999999995,8.982300884955752,1.2831858407079646,0.759,0.263
ATL,0.329,108,100,0.11199999999999999,0.433,8.568965517241379,1.5258620689655173,0.759,0.251
HOU,0.324,114,103,0.084,0.395,8.10344827586207,1.3706896551724137,0.743,0.244
NYM,0.324,113,105,0.07,0.365,8.791304347826086,1.008695652173913,0.739,0.259
STL,0.323,111,102,0.07400000000000001,0.363,8.570175438596491,1.1754385964912282,0.74,0.253
MIN,0.321,110,104,0.09699999999999999,0.42,8.460176991150442,1.238938053097345,0.735,0.25
COL,0.321,92,103,0.061,0.366,9.051282051282051,0.8974358974358975,0.733,0.263
MIL,0.32,103,101,0.086,0.39399999999999996,7.991150442477876,1.3716814159292035,0.734,0.239
PHI,0.318,102,99,0.087,0.40700000000000003,8.421052631578947,1.2982456140350878,0.73,0.249
SFG,0.315,104,101,0.079,0.368,7.842105263157895,1.1666666666666667,0.715,0.236
BOS,0.314,100,101,0.085,0.40399999999999997,8.681034482758621,0.9655172413793104,0.721,0.253
CHC,0.313,99,101,0.068,0.37799999999999995,8.283185840707965,1.008849557522124,0.713,0.245
SDP,0.309,101,101,0.065,0.365,8.196581196581196,0.8974358974358975,0.702,0.243
CHW,0.307,101,101,0.073,0.39899999999999997,8.991304347826087,0.8782608695652174,0.7,0.259
SEA,0.307,105,102,0.076,0.353,7.672413793103448,1.0948275862068966,0.696,0.231
CLE,0.307,99,102,0.051,0.34,8.62280701754386,0.7894736842105263,0.699,0.252
TEX,0.306,100,98,0.076,0.391,8.192982456140351,1.2105263157894737,0.7,0.241
BAL,0.306,97,99,0.081,0.38799999999999996,8.035087719298245,1.0263157894736843,0.697,0.238
ARI,0.305,92,97,0.071,0.36,7.543859649122807,1.1228070175438596,0.696,0.229
WSN,0.304,92,100,0.062,0.35100000000000003,8.275862068965518,0.8189655172413793,0.689,0.248
KCR,0.304,96,100,0.07,0.374,8.293103448275861,0.853448275862069,0.692,0.247
CIN,0.303,88,98,0.057999999999999996,0.35600000000000004,7.929203539823009,0.9292035398230089,0.685,0.24
TBR,0.301,101,99,0.061,0.389,7.964601769911504,0.9026548672566371,0.684,0.238
LAA,0.296,92,96,0.086,0.37200000000000005,7.556521739130435,1.1130434782608696,0.676,0.227
MIA,0.294,91,94,0.07,0.373,7.834782608695652,0.9043478260869565,0.667,0.234
PIT,0.288,83,91,0.069,0.376,7.260869565217392,0.991304347826087,0.652,0.221
OAK,0.275,81,90,0.063,0.348,7.043478260869565,0.8434782608695652,0.621,0.215
DET,0.271,74,91,0.059000000000000004,0.35700000000000004,7.422413793103448,0.5775862068965517,0.611,0.225
